datetime,location,incident_number,retrieval_date,details
02/02/2025 13:15,"536 Beech St: @SILVER PROPERTIES, LLC",25008157,2025-02-03,ALARM FIRE
02/02/2025 13:32,405 Pine St: @CITY LIBRARY EAST,25008159,2025-02-03,CHECK VEHICLE
02/02/2025 15:09,470 Auburn St,25008168,2025-02-03,ROAD RAGE
02/02/2025 13:57,Elm St / W Bridge St: @Bridge Street Bridge,25008160,2025-02-03,TRAFFIC STOP
02/02/2025 14:15,68 ELM ST: @NH STATE LIQUOR STORE 10,25008161,2025-02-03,TRAFFIC STOP
02/02/2025 14:24,Lincoln St / Hayward St,25008162,2025-02-03,CHECK SUBJECT
02/02/2025 14:31,1000 Perimeter Rd: @HOMEWOOD SUITES,25008163,2025-02-03,CHECK VEHICLE
02/02/2025 14:47,643 Beech St,25008164,2025-02-03,ACCIDENT
02/02/2025 15:02,1051 S Willow St: @DSW (MANCHESTER RUN),25008165,2025-02-03,THEFT
02/02/2025 15:06,1500 S Willow St: @Best Buy (Mall of New Hampshire,25008167,2025-02-03,UNWANTED SUBJECT
02/02/2025 15:08,80 Pepsi Rd: @GRAYBAR ELECTRIC,25008166,2025-02-03,ALARM BURGLARY
02/02/2025 17:57,Union St / Bridge St,25008190,2025-02-03,TRAFFIC STOP
02/02/2025 18:03,429 HANOVER ST,25008193,2025-02-03,MENTAL HEALTH ISSUE
02/02/2025 11:32,BROWN AVE / COLDWELL ST,25008147,2025-02-03,TRAFFIC STOP
02/02/2025 20:47,193 Westland Ave,25008225,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 19:43,44 Evergreen Way,25008216,2025-02-03,STALKING
02/02/2025 19:50,351 Lowell St,25008218,2025-02-03,ABANDON VEHICLE
02/02/2025 19:59,34 Sheffield Rd,25008219,2025-02-03,HARRASSMENT
02/02/2025 20:12,1000 Elm St: @1000 ELM ST M4,25008220,2025-02-03,ANIMAL COMPLAINTS
02/02/2025 20:19,210 Cartier St,25008222,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 20:21,445 Willow St: @VALLEY STREET JAIL,25008221,2025-02-03,WAGON TRANSPORT
02/02/2025 20:28,405 Valley St: @MPD,25008223,2025-02-03,ADMINISTRATIVE MISC
02/02/2025 20:32,655 S Willow St: @GOLDEN CORRAL (THE SHOPPES AT S ,25008224,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 20:52,178 W Mitchell St: @HOLLOWS DISC GOLF COURSE,25008226,2025-02-03,CHECK AREA FOR PROBLEM
02/02/2025 19:41,21 Prospect St,25008215,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 21:07,182 Willow St,25008227,2025-02-03,CHECK AREA FOR PROBLEM
02/02/2025 21:15,1348 Elm St,25008228,2025-02-03,ARGUMENT
02/02/2025 21:43,875 Hanover St,25008229,2025-02-03,CHECK AREA FOR PROBLEM
02/02/2025 22:00,39 Beech St: @Beech St Shelter,25008230,2025-02-03,UNWANTED SUBJECT
02/02/2025 22:25,405 Valley St: @MPD,25008231,2025-02-03,WARRANT
02/02/2025 22:33,Brown Ave / 293 S 101 E Off Ramp Exit 2,25008232,2025-02-03,DISABLED MOTOR VEHICLE
02/02/2025 22:51,393 Spruce St: @FAMILIES IN TRANSITION #393,25008234,2025-02-03,TRAFFIC STOP
02/02/2025 23:25,S Beech St / Fox St,25008235,2025-02-03,ACCIDENT
02/02/2025 19:43,220 Jewett St,25008217,2025-02-03,ARGUMENT
02/02/2025 19:29,HOOKSETT RD,25008214,2025-02-03,SPECIAL ATTENTION
02/02/2025 18:03,836 CANDIA RD: @Candia Road Convenience Store,25008192,2025-02-03,BUSINESS CHECK
02/02/2025 18:19,392 Dubuque St,25008202,2025-02-03,MENTAL HEALTH ISSUE
02/02/2025 18:05,HUSE RD,25008194,2025-02-03,SPECIAL ATTENTION
02/02/2025 18:07,1580 S Willow St: @LONGHORN RESTAURANT,25008196,2025-02-03,ANIMAL COMPLAINTS
02/02/2025 18:08,HUSE RD / CLAIRE ST,25008195,2025-02-03,TRAFFIC STOP
02/02/2025 18:14,71 Mooresville Rd,25008198,2025-02-03,ALARM BURGLARY
02/02/2025 18:16,445 Willow St: @VALLEY STREET JAIL,25008199,2025-02-03,WAGON TRANSPORT
02/02/2025 18:17,CONANT ST / DUBUQUE ST,25008200,2025-02-03,HOTSPOT PATROL
02/02/2025 18:18,HUSE RD / ROYCRAFT RD,25008201,2025-02-03,TRAFFIC STOP
02/02/2025 18:18,132 Arah St,25008203,2025-02-03,INTOXICATED PERSON
02/02/2025 18:27,HUSE RD / ROYCRAFT RD,25008204,2025-02-03,TRAFFIC STOP
02/02/2025 19:28,Reed St / Amory St,25008213,2025-02-03,ACCIDENT HIT AND RUN
02/02/2025 18:33,303 Beech St: @JFK COLISEUM,25008205,2025-02-03,ACCIDENT HIT AND RUN
02/02/2025 18:38,145 Parkside Ave: @GOSSLER SCHOOL,25008206,2025-02-03,CHECK AREA FOR PROBLEM
02/02/2025 18:52,145 Parkside Ave: @GOSSLER SCHOOL,25008207,2025-02-03,ALARM BURGLARY
02/02/2025 19:05,S WILLOW ST,25008208,2025-02-03,SPECIAL ATTENTION
02/02/2025 19:13,115 HARVELL ST: @WOLFE PARK,25008209,2025-02-03,SPECIAL ATTENTION
02/02/2025 19:14,526 Second St: @ENTERPRISE SECOND ST,25008210,2025-02-03,TRAFFIC STOP
02/02/2025 19:22,238 Union St,25008212,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 19:24,Eddy Rd / Goffstown Rd: @Amoskeag Circle,25008211,2025-02-03,ACCIDENT HIT AND RUN
02/02/2025 11:43,34 Spring Garden St,25008149,2025-02-03,CHECK SECURITY OF BUILDING
02/02/2025 11:29,Pine St / Krakow Ave,25008148,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 00:14,Downtown,25008059,2025-02-03,SPECIAL ATTENTION
02/02/2025 02:56,elm st/ clarke st,25008092,2025-02-03,TRAINING
02/02/2025 01:54,webster st,25008084,2025-02-03,SPECIAL ATTENTION
02/02/2025 01:55,39 Beech St: @Beech St Shelter,25008085,2025-02-03,UNWANTED SUBJECT
02/02/2025 02:00,Maple St / Merrimack St,25008086,2025-02-03,HANGUP CALL
02/02/2025 02:11,245 HOOKSETT RD: @Puritan Backroom,25008087,2025-02-03,BUSINESS CHECK
02/02/2025 02:18,780 N COMMERCIAL ST: @EVERSOURCE ENERGY PARK,25008088,2025-02-03,SPECIAL ATTENTION
02/02/2025 02:34,Chestnut St / Concord St,25008089,2025-02-03,TRAFFIC STOP
02/02/2025 02:36,570 Elm St: @QUALITY FUEL,25008090,2025-02-03,FIGHT
02/02/2025 02:43,39 Beech St: @Beech St Shelter,25008091,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 02:59,39 Beech St: @Beech St Shelter,25008093,2025-02-03,MEDICAL PROBLEM
02/02/2025 01:50,Wilson St / Manchester St,25008082,2025-02-03,TRAFFIC STOP
02/02/2025 03:06,300 YOUVILLE ST: @NORTHWEST ELEMENTARY SCHOOL,25008094,2025-02-03,K9 TRAINING
02/02/2025 03:43,"1061 Elm St: @ROI ENTERPRISES, INC",25008095,2025-02-03,TRAFFIC STOP
02/02/2025 03:59,260 Central St,25008097,2025-02-03,NOISE COMPLAINT
02/02/2025 04:00,61 LOWELL ST: @RED ARROW DINER,25008096,2025-02-03,BUSINESS CHECK
02/02/2025 05:23,3 Perimeter Rd: @CCI INC,25008098,2025-02-03,SUSPICIOUS MOTOR VEHICLE
02/02/2025 05:26,199 Manchester St: @FIT - FAMLIES IN TRANSITION,25008099,2025-02-03,VIOLATION OF BAIL
02/02/2025 06:13,100 Mcgregor St: @CATHOLIC MEDICAL CENTER,25008100,2025-02-03,HANGUP CALL
02/02/2025 06:50,331 Blucher St,25008101,2025-02-03,NOISE COMPLAINT
02/02/2025 01:53,20 Old Granite St: @SOHO Bistro & Lounge,25008083,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 01:20,1055 Elm St: @BarCode,25008081,2025-02-03,ASSAULT
02/02/2025 07:01,165 Conant St,25008102,2025-02-03,ADDED INFO TO PREVIOUS CASE
02/02/2025 00:50,300 Youville St: @NORTHWEST ELEMENTARY SCHOOL,25008071,2025-02-03,ALARM BURGLARY
02/02/2025 00:18,Downtown,25008062,2025-02-03,SPECIAL ATTENTION
02/02/2025 00:19,Old Granite St / Elm St,25008063,2025-02-03,TRAFFIC STOP
02/02/2025 00:20,1361 Elm St: @BEDFORD BLOCK,25008064,2025-02-03,HANGUP CALL
02/02/2025 00:24,Elm St / Old Granite St,25008065,2025-02-03,TRAFFIC STOP
02/02/2025 00:36,Elm St / Harrison St,25008066,2025-02-03,TRAFFIC STOP
02/02/2025 00:38,Beech St / Hanover St,25008067,2025-02-03,TRAFFIC STOP
02/02/2025 00:43,Chestnut St / Lowell St,25008068,2025-02-03,HOTSPOT PATROL
02/02/2025 00:43,39 Beech St: @Beech St Shelter,25008069,2025-02-03,MEDICAL PROBLEM
02/02/2025 00:50,Union St / Bell St,25008070,2025-02-03,TRAFFIC STOP
02/02/2025 01:15,199 Eastern Ave: @HILLVIEW APTS #199,25008080,2025-02-03,CHECK AREA FOR PROBLEM
02/02/2025 00:54,Candia Rd / Hanover St,25008072,2025-02-03,ACCIDENT
02/02/2025 00:58,323 Franklin St: @CARPENTER CENTER,25008073,2025-02-03,ALARM
02/02/2025 00:59,196 S Willow St: @MCDONALDS S WILLOW,25008074,2025-02-03,CHECK AREA FOR PROBLEM
02/02/2025 01:04,185 Eastern Ave: @SUNSET RIDGE #185,25008077,2025-02-03,NOISE COMPLAINT
02/02/2025 01:06,Candia Rd / 93 N Off Ramp To Candia Rd Exit 6,25008075,2025-02-03,TRAFFIC STOP
02/02/2025 01:07,CHESTNUT ST / LOWELL ST,25008076,2025-02-03,HOTSPOT PATROL
02/02/2025 01:10,1050 Gold St: @ENTERPRISE CAR SALES,25008079,2025-02-03,ALARM BURGLARY
02/02/2025 01:11,1097 Elm St: @MCGARVEYS,25008078,2025-02-03,ASSAULT
02/02/2025 07:00,97 Bow St,25008103,2025-02-03,CHECK AREA FOR PROBLEM
02/02/2025 07:37,540 Hayward St: @CITY VEHICLE STORAGE,25008104,2025-02-03,ALARM BURGLARY
02/02/2025 11:19,25008146,,2025-02-03,
02/02/2025 10:37,Somerville St / Wilson St,25008136,2025-02-03,TRAFFIC STOP
02/02/2025 10:05,1 Elliot Way: @ELLIOT HOSPITAL,25008128,2025-02-03,FOUND PROPERTY
02/02/2025 10:15,550 Lowell St,25008129,2025-02-03,
02/02/2025 10:16,0 Nazaire Biron Bridge,25008130,2025-02-03,TRAFFIC STOP
02/02/2025 10:17,548 Rimmon St,25008131,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 10:24,261 Bridge St,25008132,2025-02-03,ANIMAL COMPLAINTS
02/02/2025 10:27,39 Beech St: @Beech St Shelter,25008134,2025-02-03,MEDICAL PROBLEM
02/02/2025 10:28,S Jewett St / Maurice St,25008133,2025-02-03,TRAFFIC STOP
02/02/2025 10:36,ELM/BROOK,25008135,2025-02-03,TRAFFIC STOP
02/02/2025 10:37,670 Bodwell Rd,25008137,2025-02-03,ACCIDENT
02/02/2025 09:42,Kelley St / Dubuque St,25008126,2025-02-03,TRAFFIC STOP
02/02/2025 10:41,ELM ST / MANCHESTER ST,25008138,2025-02-03,TRAFFIC STOP
02/02/2025 10:49,199 manchester st,25008139,2025-02-03,HOMELESS ISSUES
02/02/2025 10:51,Shasta St / Beech St,25008140,2025-02-03,TRAFFIC STOP
02/02/2025 10:59,1117 Elm St: @BRIDGE CAFE,25008141,2025-02-03,UNWANTED SUBJECT
02/02/2025 10:59,763 Chestnut St,25008142,2025-02-03,ALARM BURGLARY
02/02/2025 11:03,39 beech st,25008143,2025-02-03,HOMELESS ISSUES
02/02/2025 11:09,S Willow St / Lingard St,25008144,2025-02-03,TRAFFIC STOP
02/02/2025 11:14,943 Dunbarton Rd: @NH JOB CORPS BLDG D (NH JOB COR,25008145,2025-02-03,IDENTITY THEFT
02/02/2025 09:46,145 LOWELL ST: @ST JOSEPH'S CHURCH RECTORY,25008127,2025-02-03,SPECIAL ATTENTION
02/02/2025 09:37,Elm St / W Bridge St: @Bridge Street Bridge,25008125,2025-02-03,TRAFFIC STOP
02/02/2025 07:51,107 Pine St: @ADVANCED AUTO PARTS,25008105,2025-02-03,ALARM BURGLARY
02/02/2025 08:36,445 S Willow St: @BUDGET GAS S WILLOW,25008114,2025-02-03,BROADCAST MESSAGE
02/02/2025 07:53,40 Willow St,25008106,2025-02-03,ALARM BURGLARY
02/02/2025 08:05,445 Willow St: @VALLEY STREET JAIL,25008107,2025-02-03,WAGON TRANSPORT
02/02/2025 08:06,75 Parkside Ave: @PARKSIDE MIDDLE SCHOOL,25008108,2025-02-03,ALARM BURGLARY
02/02/2025 08:12,MAPLE ST / BROOK ST,25008109,2025-02-03,TRAFFIC STOP
02/02/2025 08:19,ELM ST / HARRISON ST,25008110,2025-02-03,TRAFFIC STOP
02/02/2025 08:28,600 MAPLE ST: @GALE HOME,25008111,2025-02-03,SPECIAL ATTENTION
02/02/2025 08:28,99 EDDY RD: @PLANET FITNESS EDDY RD,25008112,2025-02-03,TRAFFIC STOP
02/02/2025 08:31,39 BEECH ST: @Beech St Shelter,25008113,2025-02-03,SPECIAL ATTENTION
02/02/2025 08:44,21 Kosciuszko St: @WILD ROVER,25008115,2025-02-03,ASSAULT
02/02/2025 09:32,443 CHESTNUT ST: @VICTORY PARK,25008124,2025-02-03,SPECIAL ATTENTION
02/02/2025 08:49,KELLEY ST / MORGAN ST,25008116,2025-02-03,TRAFFIC STOP
02/02/2025 08:53,200 HANOVER ST: @HUGH GALLEN HIGH RISE,25008117,2025-02-03,SPECIAL ATTENTION
02/02/2025 08:55,MORGAN ST / KELLEY ST,25008118,2025-02-03,TRAFFIC STOP
02/02/2025 08:59,39 beech st,25008119,2025-02-03,HOMELESS ISSUES
02/02/2025 09:03,Bremer St / Hevey St,25008120,2025-02-03,TRAFFIC STOP
02/02/2025 09:13,ELM ST / HARRISON ST,25008121,2025-02-03,PARKING COMPLAINT
02/02/2025 09:20,Blodget St / Pine St,25008123,2025-02-03,ACCIDENT HIT AND RUN
02/02/2025 09:21,234 Elm St: @ST MARYS BANK ELM ST,25008122,2025-02-03,TRAFFIC STOP
02/02/2025 23:38,Walnut St / Brook St,25008236,2025-02-03,PARKING COMPLAINT
