datetime,location,incident_number,retrieval_date,details
01/20/2025 14:45,2 S Beech St: @AROMA JOES S BEECH ST,25004843,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 15:09,720 Union St: @THE BIKE BARN,25004845,2025-01-21,PORNOGRAPHY
01/20/2025 15:15,Pine St / Lake Ave,25004846,2025-01-21,ACCIDENT
01/20/2025 15:17,131 Laurel St,25004847,2025-01-21,LOST PROPERTY
01/20/2025 15:18,Union St / Summer St South Back: @STANTON PARK,25004849,2025-01-21,FOUND PROPERTY
01/20/2025 15:19,1117 Elm St: @BRIDGE CAFE,25004848,2025-01-21,CRIMINAL THREATENING
01/20/2025 15:25,439 HALL ST,25004850,2025-01-21,CIVIL ISSUE
01/20/2025 15:33,1056 River Rd: @YDC,25004851,2025-01-21,SPECIAL ATTENTION
01/20/2025 15:38,elm/north,25004852,2025-01-21,TRAFFIC STOP
01/20/2025 15:39,216 ELM ST: @DUNKIN DONUTS ELM/VALLEY,25004853,2025-01-21,BUSINESS CHECK
01/20/2025 15:43,Putnam St / Dubuque St,25004854,2025-01-21,CHECK AREA FOR PROBLEM
01/20/2025 15:43,Notre Dame Ave / Schuyler St,25004856,2025-01-21,STOLEN MOTOR VEHICLE
01/20/2025 15:45,Kelley St / Kimball St: @Biron Bridge,25004855,2025-01-21,BROADCAST MESSAGE
01/20/2025 15:48,CHESTNUT ST / SALMON ST,25004857,2025-01-21,TRAFFIC STOP
01/20/2025 15:52,750 Somerville St,25004858,2025-01-21,ASSIST FIRE
01/20/2025 17:03,39 Beech St: @Beech St Shelter,25004883,2025-01-21,HOMELESS ISSUES
01/20/2025 17:06,485 Elm St: @AUTOHAVEN,25004885,2025-01-21,UNWANTED SUBJECT
01/20/2025 14:16,200 HANOVER ST: @HUGH GALLEN HIGH RISE,25004837,2025-01-21,SPECIAL ATTENTION
01/20/2025 19:30,1097 Elm St: @MCGARVEYS,25004907,2025-01-21,CHECK SUBJECT
01/20/2025 19:56,OLD WELLINGTON RD,25004909,2025-01-21,SPECIAL ATTENTION
01/20/2025 20:21,Elm St / Harrison St,25004910,2025-01-21,TRAFFIC STOP
01/20/2025 20:22,24 Bridge St: @Electric Avenue Tattoos,25004911,2025-01-21,ACCIDENT HIT AND RUN
01/20/2025 20:27,249 Ward St,25004914,2025-01-21,HARRASSMENT
01/20/2025 20:28,73 Massabesic St: @Massabesic Sober Living Home,25004912,2025-01-21,PARKING COMPLAINT
01/20/2025 20:31,CONANT ST / DUBUQUE ST,25004913,2025-01-21,HOTSPOT PATROL
01/20/2025 20:55,246 Laval St,25004915,2025-01-21,SHOT SPOTTER
01/20/2025 21:35,Union St / Auburn St,25004916,2025-01-21,TRAFFIC STOP
01/20/2025 21:39,Union St / Bell St,25004917,2025-01-21,TRAFFIC STOP
01/20/2025 21:49,458 Notre Dame Ave,25004918,2025-01-21,PARKING COMPLAINT
01/20/2025 21:58,444 Chestnut St,25004919,2025-01-21,HANGUP CALL
01/20/2025 22:21,903 Hanover St: @DAVITA DIALYSIS,25004920,2025-01-21,ALARM BURGLARY
01/20/2025 22:43,581 Second St: @APPLEBEES (APPLEGATE MALL),25004921,2025-01-21,ALARM BURGLARY
01/20/2025 23:01,85 S Main St: @7-ELEVEN S MAIN ST,25004922,2025-01-21,THEFT
01/20/2025 23:10,57 Kimball St,25004923,2025-01-21,DEATH
01/20/2025 23:33,242 BEECH ST: @7-ELEVEN VALLEY ST,25004924,2025-01-21,BUSINESS CHECK
01/20/2025 23:38,217 UNION ST: @Brothers Express,25004926,2025-01-21,BUSINESS CHECK
01/20/2025 23:38,108 Webster St: @CUMBERLAND FARMS,25004927,2025-01-21,UNWANTED SUBJECT
01/20/2025 23:45,146 Highview Ter,25004928,2025-01-21,ALARM BURGLARY
01/20/2025 19:39,VALLEY ST / MAPLE ST,25004908,2025-01-21,TRAFFIC STOP
01/20/2025 19:29,374 Bridge St,25004906,2025-01-21,PARKING COMPLAINT
01/20/2025 17:07,Edward J Roy Dr / Wellington Hill Rd,25004884,2025-01-21,ACCIDENT
01/20/2025 19:27,Maple St / Arlington St,25004905,2025-01-21,TRAFFIC STOP
01/20/2025 17:09,BEECH ST / BELL ST,25004886,2025-01-21,SPECIAL ATTENTION
01/20/2025 17:15,150 W Clarke St: @COLONIAL VILLAGE #150,25004887,2025-01-21,LOST PROPERTY
01/20/2025 17:16,262 Ash St,25004888,2025-01-21,ADDED INFO TO PREVIOUS CASE
01/20/2025 17:17,14 PEARL ST: @BREEZEWAY PUB,25004889,2025-01-21,BUSINESS CHECK
01/20/2025 17:25,405 VALLEY ST: @MPD,25004890,2025-01-21,ADMINISTRATIVE MISC
01/20/2025 17:40,226 Bartlett St,25004892,2025-01-21,NEIGHBOR COMPLAINT
01/20/2025 17:45,HUSE RD,25004891,2025-01-21,SPECIAL ATTENTION
01/20/2025 17:50,213 Bell St,25004893,2025-01-21,ANIMAL COMPLAINTS
01/20/2025 18:01,Sagamore St / Ash St,25004894,2025-01-21,CHECK AREA FOR PROBLEM
01/20/2025 18:02,1061 Elm St,25004895,2025-01-21,HOMELESS ISSUES
01/20/2025 18:04,804 Beech St: @804 BEECH ST LLC,25004896,2025-01-21,MENTAL HEALTH ISSUE
01/20/2025 18:31,286 Concord St: @WELCOME HOME,25004897,2025-01-21,DISORDERLY CONDUCT
01/20/2025 18:35,365 Lincoln St: @PRICE RITE,25004898,2025-01-21,TRAFFIC STOP
01/20/2025 18:40,Wellington Rd / 93 N Off Ramp Exit 8,25004899,2025-01-21,TRAFFIC STOP
01/20/2025 18:56,MAIN ST,25004900,2025-01-21,SPECIAL ATTENTION
01/20/2025 19:03,341 Elm St: @VAN OTIS,25004901,2025-01-21,ALARM BURGLARY
01/20/2025 19:15,1415 Elm St: @GRANITE STATE CREDIT UNION,25004902,2025-01-21,TRAFFIC STOP
01/20/2025 19:22,Hall St / Manchester St,25004903,2025-01-21,TRAFFIC STOP
01/20/2025 19:25,103 St James Ave,25004904,2025-01-21,ANIMAL COMPLAINTS
01/20/2025 14:18,W North St / River Rd,25004839,2025-01-21,ACCIDENT WITH INJURY
01/20/2025 14:14,450 Bridge St: @DERRYFIELD PARK,25004838,2025-01-21,CIVIL STANDBY
01/20/2025 00:40,445 Willow St: @VALLEY STREET JAIL,25004745,2025-01-21,WAGON TRANSPORT
01/20/2025 07:45,Union St / Salmon St,25004768,2025-01-21,ACCIDENT
01/20/2025 08:05,Union St / Merrimack St,25004770,2025-01-21,ACCIDENT
01/20/2025 08:11,102 Taylor St,25004771,2025-01-21,ACCIDENT HIT AND RUN
01/20/2025 08:15,Old Granite St / Granite St,25004772,2025-01-21,ACCIDENT
01/20/2025 08:21,2743 BROWN AVE: @VETERINARY EMERGENCY CENTER OF MA,25004773,2025-01-21,ACCIDENT
01/20/2025 08:26,Old Granite St / Granite St,25004774,2025-01-21,ACCIDENT
01/20/2025 08:26,282 Dubuque St,25004776,2025-01-21,VIOLATION OF BAIL COND IN PRO
01/20/2025 08:28,382 Beech St: @ST AUGUSTIN'S CHURCH,25004775,2025-01-21,HOMELESS ISSUES
01/20/2025 08:39,655 S Willow St: @PRIME STORAGE (THE SHOPPES AT S ,25004781,2025-01-21,THEFT
01/20/2025 08:40,856 Cilley Rd,25004777,2025-01-21,ALARM BURGLARY
01/20/2025 08:41,265 Central St: @265 CENTRAL ST,25004778,2025-01-21,
01/20/2025 08:44,Front St / Hackett Hill Rd,25004779,2025-01-21,DISABLED MOTOR VEHICLE
01/20/2025 08:48,219 TARRYTOWN RD: @TARRYTOWN COMMUNITY BLDG,25004780,2025-01-21,SPECIAL ATTENTION
01/20/2025 08:53,420 Maple St: @420 MAPLE ST,25004783,2025-01-21,NEIGHBOR COMPLAINT
01/20/2025 08:54,18 Dubuque St,25004782,2025-01-21,PARKING COMPLAINT
01/20/2025 08:58,725 Gold St: @WALMART,25004784,2025-01-21,CHECK SUBJECT
01/20/2025 09:03,Brown Ave / Airport Rd,25004786,2025-01-21,ACCIDENT
01/20/2025 09:03,425 LAKE AVE: @LAKE AVE FOOD MART,25004785,2025-01-21,BUSINESS CHECK
01/20/2025 09:06,200 John E Devine Dr: @BJ'S WHOLESALE CLUB,25004787,2025-01-21,ACCIDENT
01/20/2025 09:15,180 W Clarke St: @COLONIAL VILLAGE #180,25004788,2025-01-21,ACCIDENT HIT AND RUN
01/20/2025 07:53,445 Willow St: @VALLEY STREET JAIL,25004769,2025-01-21,WAGON TRANSPORT
01/20/2025 07:41,399 Maple St,25004767,2025-01-21,MENTAL HEALTH ISSUE
01/20/2025 09:23,125 A St,25004790,2025-01-21,ACCIDENT
01/20/2025 07:32,20 RESERVOIR AVE,25004766,2025-01-21,ACCIDENT UNKNOWN INJURY
01/20/2025 01:08,2391 BROWN AVE: @ALLTOWN MOBILE,25004746,2025-01-21,BUSINESS CHECK
01/20/2025 01:24,99 Pearl St,25004747,2025-01-21,CRIMINAL THREATENING
01/20/2025 01:57,152 O'malley St,25004748,2025-01-21,SUSPICIOUS ACTIVITY
01/20/2025 02:04,333 HARVEY RD: @GXO LOGISTICS (TRUE VALUE DISTRIBU,25004749,2025-01-21,CHECK SECURITY OF BUILDING
01/20/2025 02:18,142 Omalley St,25004750,2025-01-21,CHECK SUBJECT
01/20/2025 03:15,Cypress St / Auburn St,25004752,2025-01-21,ADMINISTRATIVE MISC
01/20/2025 03:22,71 Joliette St,25004753,2025-01-21,BURGLARY IN PROGRESS
01/20/2025 03:53,344 E Industrial Park Dr: @HARVEY IND - E INDUSTRI,25004754,2025-01-21,ALARM
01/20/2025 04:24,99 Pearl St,25004755,2025-01-21,MENTAL HEALTH ISSUE
01/20/2025 04:49,467 Beecvh St,25004756,2025-01-21,
01/20/2025 05:04,357 Wilson St,25004757,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 05:19,315 Manchester St,25004758,2025-01-21,ARGUMENT
01/20/2025 05:44,7 Michigan Ave: @WESTON SCHOOL,25004759,2025-01-21,ALARM BURGLARY
01/20/2025 06:22,39 Bremer St,25004760,2025-01-21,PARKING COMPLAINT
01/20/2025 06:26,233 Prospect St: @WASHINGTON MANOR APTS,25004761,2025-01-21,DEATH
01/20/2025 06:47,1685 S Willow St: @99 RESTAURANT,25004762,2025-01-21,ALARM BURGLARY
01/20/2025 06:50,77 Bremer St: @TMC CONVENIENCE,25004763,2025-01-21,MENTAL HEALTH ISSUE
01/20/2025 07:05,4 Northeast Blvd,25004764,2025-01-21,K9 TRAINING
01/20/2025 07:06,S Mammoth Rd / Glen Forest Dr,25004765,2025-01-21,ACCIDENT
01/20/2025 09:18,58 Rimmon St,25004789,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 09:29,90 BRIDGE ST: @TN GAS & CONVENIENCE,25004791,2025-01-21,BUSINESS CHECK
01/20/2025 14:14,39 Kennard Rd,25004836,2025-01-21,CHECK AREA FOR PROBLEM
01/20/2025 11:37,100 Eddy Rd: @DUNKIN DONUTS 100 EDDY RD,25004815,2025-01-21,EXPOSURE
01/20/2025 11:43,368 Bartlett St,25004817,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 11:48,548 Rimmon St,25004818,2025-01-21,HARRASSMENT
01/20/2025 12:01,755 ELM ST: @VETERAN'S PARK,25004819,2025-01-21,SPECIAL ATTENTION
01/20/2025 12:06,257 Merrimack St,25004820,2025-01-21,STOLEN MOTOR VEHICLE
01/20/2025 12:11,25004822,,2025-01-21,
01/20/2025 12:14,40 Eastern Ave: @JEFFERSON PLACE #40,25004823,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 12:16,755 ELM ST: @VETERAN'S PARK,25004821,2025-01-21,SPECIAL ATTENTION
01/20/2025 12:30,228 Karatzas Ave: @STELLA ARMS APTS #228,25004824,2025-01-21,PARKING COMPLAINT
01/20/2025 13:01,291 Myrtle St,25004825,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 13:12,211 Dunbar St,25004826,2025-01-21,ANIMAL BITES
01/20/2025 13:30,WEBSTER ST / BAY ST,25004827,2025-01-21,SPECIAL ATTENTION
01/20/2025 13:36,340 Stark Ln,25004829,2025-01-21,NEIGHBOR COMPLAINT
01/20/2025 13:37,71 Marathon Way,25004828,2025-01-21,ACCIDENT
01/20/2025 13:44,725 Gold St: @WALMART,25004830,2025-01-21,ACCIDENT
01/20/2025 13:54,22 Concord St: @FIREFLY AMERICAN BISTRO (CONCORD S,25004831,2025-01-21,HOMELESS ISSUES
01/20/2025 13:57,199 Manchester St: @FIT - FAMLIES IN TRANSITION,25004832,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 13:59,Elm St / Bridge St,25004833,2025-01-21,TRAFFIC STOP
01/20/2025 14:00,7 Cliff St,25004834,2025-01-21,CHECK VEHICLE
01/20/2025 14:06,"1061 Elm St: @ROI ENTERPRISES, INC",25004835,2025-01-21,HOMELESS ISSUES
01/20/2025 11:39,196 S Willow St: @MCDONALDS S WILLOW,25004816,2025-01-21,UNWANTED SUBJECT
01/20/2025 11:37,755 Elm St: @VETERAN'S PARK,25004814,2025-01-21,ADDED INFO TO PREVIOUS CASE
01/20/2025 09:34,145 Parkside Ave: @GOSSLER SCHOOL,25004792,2025-01-21,ALARM BURGLARY
01/20/2025 11:31,ALSACE ST EAST BACK / KELLEY ST,25004813,2025-01-21,TRAFFIC STOP
01/20/2025 09:37,106 W RIVER DR: @COLONIAL VILLAGE #106,25004793,2025-01-21,ACCIDENT
01/20/2025 09:42,394 Second St: @FAMILIES IN TRANSITION #394,25004794,2025-01-21,CHECK AREA FOR PROBLEM
01/20/2025 09:42,192 Mammoth Rd: @192 MAMMOTH RD LLC,25004795,2025-01-21,UNWANTED SUBJECT
01/20/2025 09:45,394 Second St: @FAMILIES IN TRANSITION #394,25004796,2025-01-21,
01/20/2025 09:57,600 MAPLE ST: @GALE HOME,25004797,2025-01-21,SPECIAL ATTENTION
01/20/2025 09:59,285 Myrtle St,25004798,2025-01-21,PARKING COMPLAINT
01/20/2025 10:11,S WILLOW ST / S BEECH ST,25004799,2025-01-21,SPECIAL ATTENTION
01/20/2025 10:18,199 MANCHESTER ST: @FIT - FAMLIES IN TRANSITION,25004800,2025-01-21,SPECIAL ATTENTION
01/20/2025 10:25,405 Valley St: @MPD,25004801,2025-01-21,ADDED INFO TO PREVIOUS CASE
01/20/2025 10:26,9-11 Cumberland St,25004802,2025-01-21,PARKING COMPLAINT
01/20/2025 10:26,192 Mammoth Rd: @192 MAMMOTH RD LLC,25004803,2025-01-21,UNWANTED SUBJECT
01/20/2025 10:28,259 CHESTNUT ST: @OMALLEY HI RISE,25004804,2025-01-21,SPECIAL ATTENTION
01/20/2025 10:30,455 Pine St,25004805,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 10:30,64 Plainfield St,25004806,2025-01-21,PARKING COMPLAINT
01/20/2025 10:35,21 Front St: @HAMPTON INN,25004807,2025-01-21,CHECK VEHICLE
01/20/2025 10:41,64 Merrimack St: @RED OAK PROPERTIES MERRIMACK ST,25004808,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 10:49,175 CHESTNUT ST: @KALIVAS HI RISE,25004809,2025-01-21,SPECIAL ATTENTION
01/20/2025 10:57,10 Prospect St: @MANCHESTER MANAGEMENT LLC,25004810,2025-01-21,HOMELESS ISSUES
01/20/2025 11:24,Bremer St / Mcgregor St,25004812,2025-01-21,CHECK CONDITION OF SUBJECT
01/20/2025 23:58,217 Union St: @Brothers Express,25004929,2025-01-21,BUSINESS CHECK
